question,course,document
What happens if I can't make the first Office Hours live session on January 15th?,data-engineering-zoomcamp,c02e79ef
Is there a recording of the Office Hours session available if I miss it?,data-engineering-zoomcamp,c02e79ef
Where can I find the link to register for the course?,data-engineering-zoomcamp,c02e79ef
How do I subscribe to the Google Calendar from my mobile phone?,data-engineering-zoomcamp,c02e79ef
Will the course materials be available before January 15th?,data-engineering-zoomcamp,c02e79ef
"What specific programming languages should I be comfortable with before starting the course, based on the prerequisites link?",data-engineering-zoomcamp,1f6520ca
Is there a recommended level of familiarity with SQL for this course?,data-engineering-zoomcamp,1f6520ca
"The prerequisites mention Docker; how essential is prior Docker experience, and are there resources to help me learn it before starting?",data-engineering-zoomcamp,1f6520ca
"Besides the technical prerequisites, are there any recommended soft skills or prior experience with teamwork that would be beneficial?",data-engineering-zoomcamp,1f6520ca
"The GitHub link mentions several topics – are all of them equally crucial for successful course completion, or are some more important than others?",data-engineering-zoomcamp,1f6520ca
"If I join late, will I have access to all the course materials from the beginning?",data-engineering-zoomcamp,7842b56a
What happens if I miss the deadlines for the homeworks?,data-engineering-zoomcamp,7842b56a
Are there any penalties for joining the course after the start date?,data-engineering-zoomcamp,7842b56a
Will I be able to participate in any discussions or forums if I join late?,data-engineering-zoomcamp,7842b56a
"What exactly are the deadlines for the final projects, and how are they communicated?",data-engineering-zoomcamp,7842b56a
"If registration isn't mandatory, why did you even ask us to register?",data-engineering-zoomcamp,0bbf41ec
What happens if I don't submit homework?,data-engineering-zoomcamp,0bbf41ec
Is there a deadline to start the course materials?,data-engineering-zoomcamp,0bbf41ec
Will there be any consequences if I registered late?,data-engineering-zoomcamp,0bbf41ec
"Are there any benefits to registering for the course, even if it's not required?",data-engineering-zoomcamp,0bbf41ec
Is there a specific version of Python 3 and Anaconda recommended for the course?,data-engineering-zoomcamp,63394d91
Where can I find detailed instructions on installing and configuring the Google Cloud SDK?,data-engineering-zoomcamp,63394d91
What are the minimum system requirements for running the course software?,data-engineering-zoomcamp,63394d91
The syllabus mentions prerequisites in linear algebra; how crucial is this knowledge for successfully completing the course?,data-engineering-zoomcamp,63394d91
"If I'm already familiar with Git, is there any specific Git workflow or configuration you recommend for this course?",data-engineering-zoomcamp,63394d91
"If I'm not aiming for a certificate, can I still participate in the live Zoomcamp sessions?",data-engineering-zoomcamp,2ed9b986
Are the recordings for each Zoomcamp available even if I join outside the live cohort?,data-engineering-zoomcamp,2ed9b986
What's the difference between a live cohort and self-paced learning for these Zoomcamps?,data-engineering-zoomcamp,2ed9b986
"Do the materials and curriculum change significantly between different years for the same Zoomcamp (e.g., Data-Engineering in 2023 vs 2024)?",data-engineering-zoomcamp,2ed9b986
"If I start the Machine Learning Zoomcamp in October, will I be able to finish it before the next Data-Engineering Zoomcamp starts in January?",data-engineering-zoomcamp,2ed9b986
Will the assignments and projects also be different given the change in tools?,data-engineering-zoomcamp,93e2c8ed
Are the re-recorded Terraform videos significantly improved compared to the previous versions?,data-engineering-zoomcamp,93e2c8ed
Where can I find the old Prefect materials from the 2023 cohort?,data-engineering-zoomcamp,93e2c8ed
What specific advantages does Mage AI offer over Prefect for this course?,data-engineering-zoomcamp,93e2c8ed
Will the grading rubrics be adjusted to reflect the use of Mage AI?,data-engineering-zoomcamp,93e2c8ed
Will the online platform remain accessible even after the course officially ends?,data-engineering-zoomcamp,a482086d
"If I access the materials after the course, will I still have access to any instructor support or Q&A forums?",data-engineering-zoomcamp,a482086d
How long will the course materials remain available after the course concludes?,data-engineering-zoomcamp,a482086d
Can I start working on the final capstone project before the course officially ends?,data-engineering-zoomcamp,a482086d
"Will future cohorts have significantly different course materials, or can I use previous cohorts' homeworks to prepare?",data-engineering-zoomcamp,a482086d
How responsive is the Slack channel for self-paced learners?,data-engineering-zoomcamp,eb56ae98
What kind of questions are typically *not* answered in the FAQ or Slack channel?,data-engineering-zoomcamp,eb56ae98
Are there any limitations to the support offered in self-paced mode compared to the instructor-led mode?,data-engineering-zoomcamp,eb56ae98
How accurate is the @ZoomcampQABot usually?,data-engineering-zoomcamp,eb56ae98
"If the @ZoomcampQABot and the FAQ don't answer my question, what's the next step?",data-engineering-zoomcamp,eb56ae98
"Is there a separate playlist for each year's content, or are all years included in the main playlist?",data-engineering-zoomcamp,4292531b
"If I find a video on the Github repository, will it automatically open the correct spot in the YouTube playlist?",data-engineering-zoomcamp,4292531b
Are the office hours videos included in the main playlist or a separate one?,data-engineering-zoomcamp,4292531b
The link provided seems to only be for the main playlist. Where can I find the year-specific playlists?,data-engineering-zoomcamp,4292531b
Is the Slack channel playlist always up-to-date with the YouTube playlist?,data-engineering-zoomcamp,4292531b
What constitutes a 'module' in the context of this answer?,data-engineering-zoomcamp,ea739c65
Is the 5-15 hour estimate per week inclusive of lectures and tutorials?,data-engineering-zoomcamp,ea739c65
Are the sources [source1] and [source2] available to students?,data-engineering-zoomcamp,ea739c65
How can I use the provided data to calculate my own expected time commitment?,data-engineering-zoomcamp,ea739c65
"If I have extensive prior experience in related areas, can I expect to spend less than 5 hours per week?",data-engineering-zoomcamp,ea739c65
What exactly constitutes a 'live' cohort?  Are there specific start and end dates I should be aware of?,data-engineering-zoomcamp,cb257ee5
"If I don't complete the course within a live cohort, are there any other ways to receive recognition for completing the coursework?",data-engineering-zoomcamp,cb257ee5
Can I still access the course materials in self-paced mode even if I can't get a certificate?,data-engineering-zoomcamp,cb257ee5
What happens to my project if I start it in self-paced mode and then decide to join a live cohort later?,data-engineering-zoomcamp,cb257ee5
"How many capstones are required for the certificate, and what is the nature of the peer-review process?",data-engineering-zoomcamp,cb257ee5
Will the YouTube Live stream be archived for later viewing?,data-engineering-zoomcamp,04aa4897
"If I have a question during the office hour, how will I know if it was answered?",data-engineering-zoomcamp,04aa4897
What if the Slido link isn't pinned in the YouTube chat?,data-engineering-zoomcamp,04aa4897
Are there any other ways to ask questions besides Slido during the office hours?,data-engineering-zoomcamp,04aa4897
Will the announcements on Telegram and Slack include the exact time the office hour begins?,data-engineering-zoomcamp,04aa4897
Will the recordings include the Q&A sessions during the office hours?,data-engineering-zoomcamp,9681be3b
"Where exactly will the recordings be available?  (e.g., link, platform)",data-engineering-zoomcamp,9681be3b
"What format will the recordings be in? (e.g., MP4, MOV)",data-engineering-zoomcamp,9681be3b
How long will the recordings be available after the course ends?,data-engineering-zoomcamp,9681be3b
"If I have a question during office hours but can't ask live due to technical issues, can I submit it in another way for the instructor to answer in the recording?",data-engineering-zoomcamp,9681be3b
What happens if I miss a homework deadline?,data-engineering-zoomcamp,a1daf537
Is there a penalty for late submissions?,data-engineering-zoomcamp,a1daf537
Where can I find the announcements from @Au-Tomator mentioned in the FAQ?,data-engineering-zoomcamp,a1daf537
"If the Google Sheet and the announcement have different deadlines, which one should I follow?",data-engineering-zoomcamp,a1daf537
How will I be notified about deadline changes?,data-engineering-zoomcamp,a1daf537
What exactly constitutes 'the form still being not closed'? Is there a visual indicator?,data-engineering-zoomcamp,be5bfee4
"If I submit after the deadline, but before the form closes, will I receive any penalty or reduced grade?",data-engineering-zoomcamp,be5bfee4
Where exactly on the Course page can I find the date-timestamp to confirm my submission?,data-engineering-zoomcamp,be5bfee4
"What happens if the form closes before I can submit my homework, even if it's only a few minutes late?",data-engineering-zoomcamp,be5bfee4
"Are there any exceptions to the no late submissions policy, such as documented medical emergencies?",data-engineering-zoomcamp,be5bfee4
"Can we collaborate on homework assignments, and if so, how should we handle contributions and credit?",data-engineering-zoomcamp,0e424a44
"Is there a preferred platform (GitHub, GitLab, Bitbucket) for submitting homework, or can we use any?",data-engineering-zoomcamp,0e424a44
What constitutes a 'reasonable person' in the context of homework submission?  How detailed should our commit messages be?,data-engineering-zoomcamp,0e424a44
"If we use a private repository, how do we provide access to you for grading?",data-engineering-zoomcamp,0e424a44
"If I'm having technical difficulties with my chosen platform (e.g., Git issues), what support is available?",data-engineering-zoomcamp,0e424a44
Is there a point system for participation in class discussions?,data-engineering-zoomcamp,29865466
How are the points for 'Learning in Public' awarded specifically?  What constitutes a valid link?,data-engineering-zoomcamp,29865466
"If a homework assignment has different sections or parts with varying point values, how is the total score calculated for that assignment?",data-engineering-zoomcamp,29865466
"Are there any penalties for late homework submissions, and how does that affect the points awarded?",data-engineering-zoomcamp,29865466
"Will the leaderboard reflect points in real-time after homework submission and grading, or is there a delay?",data-engineering-zoomcamp,29865466
Can I change my display name after the course has started?,data-engineering-zoomcamp,016d46a1
"If I don't see my name on the leaderboard, does that mean I haven't submitted any homework?",data-engineering-zoomcamp,016d46a1
